LATITUDE,LONGITUDE,DATE,EVAP,PRCP,TMAX,TMIN
28.71583,-97.17444,20040506,46,0,278,161
28.71583,-97.17444,20040507,41,0,278,183
28.71583,-97.17444,20040508,25,18,267,200
28.71583,-97.17444,20040509,13,142,267,189
28.71583,-97.17444,20040510,28,10,267,189
28.71583,-97.17444,20040511,28,0,283,189
28.71583,-97.17444,20040512,18,300,-9999,-9999
28.71583,-97.17444,20040513,28,10,294,239
28.71583,-97.17444,20040514,38,658,306,183
28.71583,-97.17444,20040515,48,262,267,167
28.71583,-97.17444,20040516,53,0,283,167
28.71583,-97.17444,20040517,48,0,294,194
28.71583,-97.17444,20040518,48,0,306,222
28.71583,-97.17444,20040519,48,0,306,206
28.71583,-97.17444,20040520,46,3,306,217
28.71583,-97.17444,20040521,51,254,306,211
28.71583,-97.17444,20040522,51,0,306,206
28.71583,-97.17444,20040523,56,0,306,206
28.71583,-97.17444,20040524,51,0,306,200
28.71583,-97.17444,20040525,51,0,306,211
28.71583,-97.17444,20040526,53,0,306,222
28.71583,-97.17444,20040527,51,0,306,217
28.71583,-97.17444,20040528,51,0,311,228
28.71583,-97.17444,20040529,48,0,322,239
28.71583,-97.17444,20040530,48,0,300,256
28.71583,-97.17444,20040531,48,0,306,261
28.71583,-97.17444,20040601,51,0,344,256
28.71583,-97.17444,20040602,61,0,333,250
28.71583,-97.17444,20040603,56,18,328,211
28.71583,-97.17444,20040604,56,0,328,200
28.71583,-97.17444,20040605,51,0,344,189
28.71583,-97.17444,20040606,69,15,333,222
28.71583,-97.17444,20040607,58,0,322,244
28.71583,-97.17444,20040608,46,142,306,222
28.71583,-97.17444,20040609,53,25,278,228
28.71583,-97.17444,20040610,53,18,294,250
28.71583,-97.17444,20040611,43,5,317,244
28.71583,-97.17444,20040612,66,5,317,239
28.71583,-97.17444,20040613,61,0,317,233
28.71583,-97.17444,20040614,58,0,322,228
28.71583,-97.17444,20040615,51,0,328,222
28.71583,-97.17444,20040616,36,175,322,200
28.71583,-97.17444,20040617,25,109,294,233
28.71583,-97.17444,20040618,53,0,328,233
28.71583,-97.17444,20040619,56,0,328,222
28.71583,-97.17444,20040620,53,0,328,222
28.71583,-97.17444,20040621,51,0,333,222
28.71583,-97.17444,20040622,61,0,333,244
28.71583,-97.17444,20040623,28,84,278,211
28.71583,-97.17444,20040624,43,257,311,228
28.71583,-97.17444,20040625,51,3,311,228
28.71583,-97.17444,20040626,48,279,222,-9999
28.71583,-97.17444,20040627,43,3,294,-9999
28.71583,-97.17444,20040628,43,3,322,239
28.71583,-97.17444,20040629,43,211,306,228
28.71583,-97.17444,20040630,30,28,294,244
28.7158,-97.1744,20040701,20,318,289,217
28.7158,-97.1744,20040702,53,0,328,233
28.7158,-97.1744,20040703,64,0,328,239
28.7158,-97.1744,20040704,69,0,328,228
28.7158,-97.1744,20040705,64,0,328,228
28.7158,-97.1744,20040706,61,0,328,239
28.7158,-97.1744,20040707,64,0,333,239
28.7158,-97.1744,20040708,64,0,333,239
28.7158,-97.1744,20040709,64,0,333,239
28.7158,-97.1744,20040710,3,0,333,217
28.7158,-97.1744,20040711,3,3,333,228
28.7158,-97.1744,20040712,41,170,333,217
28.7158,-97.1744,20040713,56,3,328,217
28.7158,-97.1744,20040714,56,0,339,228
28.7158,-97.1744,20040715,56,0,344,228
28.7158,-97.1744,20040716,56,0,333,222
28.7158,-97.1744,20040717,56,0,333,222
28.7158,-97.1744,20040718,58,0,344,222
28.7158,-97.1744,20040719,5,0,344,217
28.7158,-97.1744,20040720,5,0,339,222
28.7158,-97.1744,20040721,38,0,328,222
28.7158,-97.1744,20040722,5,41,333,222
28.7158,-97.1744,20040723,56,8,333,239
28.7158,-97.1744,20040724,38,36,333,228
28.7158,-97.1744,20040725,56,3,344,233
28.7158,-97.1744,20040726,56,0,350,233
28.7158,-97.1744,20040727,61,0,328,217
28.7158,-97.1744,20040728,56,0,339,228
28.7158,-97.1744,20040729,53,0,333,239
28.7158,-97.1744,20040730,56,5,344,222
28.7158,-97.1744,20040731,53,3,350,222
28.7158,-97.1744,20040801,48,10,294,267
28.7158,-97.1744,20040802,61,3,361,244
28.7158,-97.1744,20040803,51,0,356,239
28.7158,-97.1744,20040804,56,0,361,239
28.7158,-97.1744,20040805,58,0,361,233
28.7158,-97.1744,20040806,56,0,367,250
28.7158,-97.1744,20040807,43,0,350,222
28.7158,-97.1744,20040808,48,0,278,222
28.7158,-97.1744,20040809,58,0,350,222
28.7158,-97.1744,20040810,58,0,356,233
28.7158,-97.1744,20040811,48,5,356,233
28.7158,-97.1744,20040812,56,378,367,206
28.7158,-97.1744,20040813,64,0,317,183
28.7158,-97.1744,20040814,61,0,317,211
28.7158,-97.1744,20040815,53,0,311,189
28.7158,-97.1744,20040816,61,0,311,172
28.7158,-97.1744,20040817,51,0,317,189
28.7158,-97.1744,20040818,48,0,322,200
28.7158,-97.1744,20040819,41,0,333,233
28.7158,-97.1744,20040820,61,0,339,244
28.7158,-97.1744,20040821,46,0,344,250
28.7158,-97.1744,20040822,53,46,328,244
28.7158,-97.1744,20040823,41,3,328,256
